2013-08-27 15:57:46,435 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,436 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,436 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,436 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,516 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,517 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,517 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,529 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,535 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 14] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,738 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:57:46,738 [26] INFO  Umbraco.Web.UI.Install.InstallerRestService - [Thread 35] Running 'InstallOrUpgrade' service
2013-08-27 15:57:46,748 [26] INFO  Umbraco.Core.DatabaseContext - [Thread 35] Database configuration status: Started
2013-08-27 15:57:46,863 [26] INFO  Umbraco.Core.DatabaseContext - [Thread 35] Database configuration failed with the following error and stack trace: Login failed for user 'LECTRIC\plk'.
   at System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
   at System.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
   at System.Data.SqlClient.TdsParser.Run(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj)
   at System.Data.SqlClient.SqlInternalConnectionTds.CompleteLogin(Boolean enlistOK)
   at System.Data.SqlClient.SqlInternalConnectionTds.AttemptOneLogin(ServerInfo serverInfo, String newPassword, SecureString newSecurePassword, Boolean ignoreSniOpenTimeout, TimeoutTimer timeout, Boolean withFailover)
   at System.Data.SqlClient.SqlInternalConnectionTds.LoginNoFailover(ServerInfo serverInfo, String newPassword, SecureString newSecurePassword, Boolean redirectedUserInstance, SqlConnectionString connectionOptions, SqlCredential credential, TimeoutTimer timeout)
   at System.Data.SqlClient.SqlInternalConnectionTds.OpenLoginEnlist(TimeoutTimer timeout, SqlConnectionString connectionOptions, SqlCredential credential, String newPassword, SecureString newSecurePassword, Boolean redirectedUserInstance)
   at System.Data.SqlClient.SqlInternalConnectionTds..ctor(DbConnectionPoolIdentity identity, SqlConnectionString connectionOptions, SqlCredential credential, Object providerInfo, String newPassword, SecureString newSecurePassword, Boolean redirectedUserInstance, SqlConnectionString userConnectionOptions)
   at System.Data.SqlClient.SqlConnectionFactory.CreateConnection(DbConnectionOptions options, DbConnectionPoolKey poolKey, Object poolGroupProviderInfo, DbConnectionPool pool, DbConnection owningConnection, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionFactory.CreatePooledConnection(DbConnectionPool pool, DbConnectionOptions options, DbConnectionPoolKey poolKey, DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionPool.CreateObject(DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionPool.UserCreateRequest(DbConnectionOptions userOptions)
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)
   at System.Data.ProviderBase.DbConnectionClosed.TryOpenConnection(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)
   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)
   at System.Data.SqlClient.SqlConnection.Open()
   at Umbraco.Core.Persistence.FaultHandling.RetryPolicy.<>c__DisplayClass1.<ExecuteAction>b__0()
   at Umbraco.Core.Persistence.FaultHandling.RetryPolicy.ExecuteAction[TResult](Func`1 func)
   at Umbraco.Core.Persistence.FaultHandling.RetryPolicy.ExecuteAction(Action action)
   at Umbraco.Core.Persistence.PetaPocoConnectionExtensions.OpenWithRetry(IDbConnection connection, RetryPolicy retryPolicy)
   at Umbraco.Core.Persistence.PetaPocoConnectionExtensions.OpenWithRetry(IDbConnection connection)
   at Umbraco.Core.Persistence.Database.OpenSharedConnection()
   at Umbraco.Core.Persistence.Database.<Query>d__7`1.MoveNext()
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Umbraco.Core.Persistence.SqlSyntax.SqlServerSyntaxProvider.GetTablesInSchema(Database db)
   at Umbraco.Core.Persistence.Migrations.Initial.DatabaseSchemaCreation.ValidateSchema()
   at Umbraco.Core.DatabaseContext.ValidateDatabaseSchema()
   at Umbraco.Core.DatabaseContext.CreateDatabaseSchemaAndDataOrUpgrade()
2013-08-27 15:58:00,791 [26] INFO  Umbraco.Core.DatabaseContext - [Thread 40] Configured a new ConnectionString using the 'System.Data.SqlClient' provider.
2013-08-27 15:58:01,041 [26] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 39] Application shutdown. Reason: ConfigurationChange
2013-08-27 15:58:01,208 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Determining hash of code files on disk
2013-08-27 15:58:01,221 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Hash determined (took 8ms)
2013-08-27 15:58:01,224 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-08-27 15:58:01,245 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 19ms)
2013-08-27 15:58:01,286 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-08-27 15:58:01,287 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2013-08-27 15:58:01,287 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-08-27 15:58:01,288 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
2013-08-27 15:58:01,288 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-08-27 15:58:01,289 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 0ms)
2013-08-27 15:58:01,290 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-08-27 15:58:01,291 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 1ms)
2013-08-27 15:58:01,291 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-08-27 15:58:01,292 [42] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 1ms)
2013-08-27 15:58:01,340 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,340 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,341 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,342 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,342 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,342 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,342 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:58:01,404 [42] INFO  Umbraco.Core.ApplicationContext - [Thread 35] CurrentVersion different from configStatus: '6.1.4',''
